user,Welches Geschlecht haben Sie?,Wurden Sie in Deutschland geboren?,Wurde Ihre Mutter in Deutschland geboren?,Wurde Ihr Vater in Deutschland geboren?,"Hier ist eine Liste mit Klassen des monatlichen Haushaltseinkommens. Bitte geben Sie an, in welcher Klasse sich Ihr Haushalt befindet, wenn Sie das monatliche Nettoeinkommen aller Haushaltsmitglieder zusammenzählen: Löhne, Renten und andere Einkommen nach allen Abzügen für Steuern und Sozialversicherungen.","Was ist der höchste allgemeinbildende Schulabschluss, den Sie erreicht haben?","Was ist der höchste Studienabschluss, den Sie erreicht haben?","Was ist der höchste berufliche Ausbildungsabschluss, den Sie erreicht haben?","Sind Sie zurzeit berufstätig oder nicht? Bitte wählen Sie von dieser Liste das aus, was auf Sie zutrifft.",Welchen Familienstand haben Sie?,Welcher Religionsgemeinschaft gehören Sie an?,Welcher dieser Berufsgruppen ordnen Sie sich primär zu?,Was ist Ihre Postleitzahl? ,Wie alt sind Sie? 
IDDE100014,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss",30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",10997,63
IDDE100015,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Ungelernte Arbeitskräfte in technischen und handwerklichen Berufen wie: Hilfsarbeiter, ungelernter Fabrikarbeiter, Reinigungskraft",77855,36
IDDE100017,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,keine Antwort,keine Antwort,Weniger als 30 Stunden in der Woche,Verheiratet,Unknown,keine Antwort,40882,60
IDDE100018,weiblich,Ja,Nein,Nein,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",41564,30
IDDE100019,männlich,Ja,Ja,Ja,bis 1100 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Arbeitslos,Geschieden,keine Antwort,weiss nicht,44536,64
IDDE100020,männlich,Nein,Nein,Nein,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",52080,43
IDDE100021,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",12309,69
IDDE100022,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),"Rentner, Ruhestand",Verwitwet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",10318,82
IDDE100024,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",46562,37
IDDE100025,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,Unknown,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",36323,48
IDDE100026,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)",keine Antwort,Eingetragene Lebenspartnerschaft,keine Antwort,Dienstleistungsberufe in der medizinischen und Alterspflege,18374,36
IDDE100028,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",45141,57
IDDE100029,weiblich,Ja,Nein,Ja,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,"Rentner, Ruhestand",Geschieden,keine Antwort,keine Antwort,41068,64
IDDE100030,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",98617,40
IDDE100033,weiblich,Ja,Ja,Ja,über 4250 bis 5250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",71127,67
IDDE100034,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Diplom einer Verwaltungs-/Fachhochschule,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",39638,44
IDDE100035,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,"Zwischenprüfung, Vordiplom","Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)",Weniger als 30 Stunden in der Woche,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der russisch-orthodoxen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",58119,31
IDDE100036,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Promotion; Habilitation,Anderer beruflicher Ausbildungsabschluss,Weniger als 30 Stunden in der Woche,Verheiratet,keine Antwort,"Angelernte Arbeitskräfte in technischen und handwerklichen Berufen wie: Busfahrer, Möbelmonteur, Pförtner, Lagerarbeiter",53913,64
IDDE100037,weiblich,Ja,Ja,Ja,bis 1100 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Anderer Studienabschluss,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Unknown,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",18057,54
IDDE100038,männlich,Ja,Ja,Ja,über 1100 bis 1500 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Diplom einer Verwaltungs-/Fachhochschule,keine Antwort,Arbeitslos,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",58239,40
IDDE100039,weiblich,Ja,Nein,Nein,bis 1100 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Laufbahnprüfung für den mittleren Dienst,"Rentner, Ruhestand",Geschieden,keiner,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",33729,70
IDDE100040,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,30 Stunden in der Woche oder mehr,Geschieden,keine Antwort,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",12353,61
IDDE100041,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Kein Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",13158,64
IDDE100042,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",80993,51
IDDE100043,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Berufliche Zweitausbildung,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",63450,40
IDDE100044,männlich,Ja,Ja,Ja,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,Selbstständig,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",4319,43
IDDE100045,männlich,Nein,Ja,Ja,über 3560 bis 4250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Kein Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,Studierende,84359,20
IDDE100046,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verheiratet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",26133,74
IDDE100047,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Bachelor einer Verwaltungs-/Fachhochschule,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",80803,40
IDDE100048,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",45147,37
IDDE100050,weiblich,Ja,Ja,Nein,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",30989,57
IDDE100051,männlich,Ja,Ja,Ja,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Arbeitslos,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,keine Antwort,59425,44
IDDE100052,männlich,Nein,Nein,Nein,über 1800 bis 2200 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Anderer Studienabschluss,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)","Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",86167,71
IDDE100056,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,keine Antwort,21509,52
IDDE100057,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,Weniger als 30 Stunden in der Woche,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",Unknown,69
IDDE100059,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,"Zwischenprüfung, Vordiplom","Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)",Dauerhaft arbeitsunfähig wegen einer Behinderung,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",63303,58
IDDE100060,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",69488,75
IDDE100061,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verwitwet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",50969,43
IDDE100062,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",80539,40
IDDE100065,männlich,Ja,Ja,Ja,bis 1100 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",55459,71
IDDE100066,männlich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,keine Antwort,Anderer beruflicher Ausbildungsabschluss,Arbeitslos,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",99097,45
IDDE100069,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Anderer Schulabschluss,"Zwischenprüfung, Vordiplom",Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",35041,58
IDDE100070,weiblich,Ja,Nein,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Anderer beruflicher Ausbildungsabschluss,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,Der römisch-katholischen Kirche,Dienstleistungsberufe in der medizinischen und Alterspflege,78166,55
IDDE100072,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,Studierende,70736,18
IDDE100073,weiblich,Ja,Ja,Nein,über 2600 bis 3000 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,"Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Dem Islam,Dienstleistungsberufe in der medizinischen und Alterspflege,44147,20
IDDE100074,weiblich,Ja,Ja,Ja,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Anderer Studienabschluss,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",20259,73
IDDE100075,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Weiß nicht,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,Dienstleistungsberufe in der medizinischen und Alterspflege,53489,59
IDDE100076,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",38678,40
