,unique_id,F7a,F7bA1,F7cA1,F7d,F7e,F7f,einkommen,F7g,F7h,F7i,F7j,F7k,F7lA1,F7mA1,F7n,F7o,wave_first
36,IDDE100045,1,84359,20,2,1,1,8,5,1,1,7,6,5,3,1,13,1
37,IDDE100046,1,26133,74,1,1,1,8,4,1,7,5,1,2,0,1,3,1
38,IDDE100047,1,80803,40,1,1,1,7,5,5,1,1,1,2,0,9,1,1
39,IDDE100048,1,45147,37,1,1,1,9,6,1,11,1,1,2,0,1,7,1
40,IDDE100050,2,30989,57,1,1,2,8,6,10,7,1,1,2,0,2,3,1
41,IDDE100051,1,59425,44,1,1,1,1,4,1,7,8,6,1,0,9,15,1
42,IDDE100052,1,86167,71,2,2,2,4,4,13,2,5,6,1,0,9,3,1
43,IDDE100056,1,21509,52,1,1,1,9,4,1,7,1,1,4,2,9,15,1
44,IDDE100057,1,74.76,69,1,1,1,8,6,11,11,2,6,1,0,9,3,1
45,IDDE100059,2,63303,58,1,1,1,2,3,2,2,9,1,2,0,9,3,1
46,IDDE100060,1,69488,75,1,1,1,7,6,8,11,5,1,2,0,2,1,1
47,IDDE100061,2,50969,43,1,1,1,5,4,1,7,1,3,2,0,9,3,1
48,IDDE100062,1,80539,40,1,1,1,7,6,8,7,1,1,5,3,1,2,1
49,IDDE100065,1,55459,71,1,1,1,1,6,10,7,5,1,2,0,9,1,1
50,IDDE100066,1,99097,45,1,1,1,2,4,15,11,8,6,1,0,9,7,1
51,IDDE100069,2,35041,58,1,1,1,7,7,2,1,1,6,1,0,2,3,1
52,IDDE100070,2,78166,55,1,2,1,5,4,1,11,6,1,2,0,1,5,1
53,IDDE100072,1,70736,18,1,1,1,8,6,1,1,7,6,3,1,9,13,1
54,IDDE100073,2,44147,20,1,1,2,6,6,1,4,1,6,4,1,6,5,1
55,IDDE100074,2,20259,73,1,1,1,1,4,13,11,5,6,1,0,1,6,1
56,IDDE100075,2,53489,59,1,1,1,5,6,10,12,1,6,1,0,9,5,1
57,IDDE100076,1,38678,40,1,1,1,5,6,1,6,1,6,1,0,9,3,1
58,IDDE100077,1,53175,79,1,1,1,3,4,1,9,5,6,1,0,9,3,1
59,IDDE100078,1,45359,20,1,1,1,7,6,1,1,7,6,4,0,1,13,1
60,IDDE100079,2,82256,32,1,1,1,5,3,1,7,6,6,3,1,1,4,1
61,IDDE100080,2,59368,35,1,1,1,8,6,1,7,1,1,2,0,2,3,1
62,IDDE100081,1,15366,62,1,1,1,1,3,1,6,5,4,1,0,9,10,1
63,IDDE100082,1,21255,18,1,2,2,2,4,15,13,7,6,3,0,9,15,1
64,IDDE100083,1,95168,25,1,1,1,7,4,1,8,1,6,2,0,2,10,1
65,IDDE100084,1,94539,35,1,1,1,8,4,1,3,1,1,5,3,2,3,1
66,IDDE100085,1,25746,59,1,1,1,4,6,15,3,1,6,1,0,2,6,1
67,IDDE100086,1,93053,60,1,1,1,4,3,1,6,1,6,1,0,1,7,1
68,IDDE100087,2,77866,55,1,2,1,2,6,1,7,3,3,2,0,3,14,1
69,IDDE100088,2,54290,26,1,2,2,6,3,10,7,6,1,4,2,5,3,1
70,IDDE100089,2,90518,31,1,1,1,9,5,6,10,1,1,3,1,10,4,1
71,IDDE100090,2,38690,67,1,1,1,6,4,1,7,5,3,2,0,9,4,1
72,IDDE100092,1,85134,19,1,1,1,10,6,1,11,7,6,4,1,1,3,1
73,IDDE100093,2,14547,57,1,1,1,3,6,11,11,1,4,1,0,9,3,1
74,IDDE100094,2,24983,45,2,2,2,8,6,5,11,2,1,4,2,4,6,1
75,IDDE100095,2,60431,60,2,1,2,3,4,1,7,1,4,1,0,9,3,1
76,IDDE100096,1,45279,32,1,1,1,10,6,5,10,1,1,3,1,1,3,1
77,IDDE100098,1,45529,73,1,1,1,5,4,1,11,5,1,2,0,2,1,1
78,IDDE100099,1,38100,53,1,1,1,6,5,1,6,1,1,3,1,9,3,1
79,IDDE100100,1,39418,66,1,1,1,7,6,10,11,5,1,2,0,9,2,1
80,IDDE100101,1,78549,54,1,1,2,8,5,1,8,9,1,2,0,9,3,1
81,IDDE100102,1,78592,38,1,1,1,9,4,1,9,1,1,2,0,9,7,1
82,IDDE100103,1,29683,58,2,2,2,4,6,1,6,5,1,2,1,9,7,1
83,IDDE100105,1,57562,35,1,1,1,8,4,1,10,1,1,3,1,1,7,1
84,IDDE100106,3,73098,18,1,1,2,3,6,1,1,1,6,4,1,9,4,1
85,IDDE100107,1,81245,35,1,1,1,7,6,6,10,1,6,1,0,1,3,1
86,IDDE100108,2,45699,47,1,1,1,5,4,15,13,1,4,3,2,1,3,1
87,IDDE100109,1,21075,35,1,1,1,7,6,11,8,1,1,4,2,9,3,1
88,IDDE100110,2,37445,70,1,1,1,3,4,1,4,5,4,1,0,1,5,1
89,IDDE100111,1,22880,45,1,1,1,8,4,5,10,1,6,1,0,9,2,1
90,IDDE100112,2,37085,25,1,1,1,2,6,10,7,7,8,2,0,2,1,1
91,IDDE100114,1,97650,56,1,1,1,6,3,1,1,5,6,3,0,1,3,1
92,IDDE100115,1,76703,73,1,1,1,7,3,1,6,5,1,3,0,1,3,1
93,IDDE100117,1,65936,58,2,2,2,7,4,1,1,1,6,1,0,9,14,1
94,IDDE100118,2,61184,71,1,1,1,3,4,1,7,5,5,1,0,9,3,1
95,IDDE100119,2,40699,67,1,1,1,2,4,15,2,5,4,1,0,1,5,1
96,IDDE100120,1,47167,57,1,1,1,9,4,1,5,1,1,2,0,9,3,1
97,IDDE100121,2,46282,47,1,1,1,7,6,8,2,1,1,4,2,1,5,1
98,IDDE100122,1,91781,31,1,2,2,6,6,12,1,1,6,3,0,2,1,1
99,IDDE100123,1,34119,42,1,1,1,5,4,1,7,1,6,2,0,2,5,1
100,IDDE100124,2,21217,82,1,1,1,7,4,4,7,5,1,2,0,3,2,1
101,IDDE100125,1,90453,29,2,2,2,2,6,13,11,1,1,2,0,1,4,1
102,IDDE100126,1,84453,59,1,1,1,9,6,1,1,1,1,2,0,9,2,1
103,IDDE100127,1,66606,48,1,1,1,5,4,1,7,1,5,3,1,1,4,1
104,IDDE100128,2,8324,31,1,1,1,9,6,1,4,1,1,3,1,2,5,1
105,IDDE100129,2,66625,30,1,1,1,8,5,11,9,1,6,2,0,9,1,1
106,IDDE100130,1,59199,68,1,1,1,9,4,1,7,5,4,3,1,1,14,1
107,IDDE100131,1,73732,39,1,1,1,10,6,10,9,1,6,2,0,9,1,1
108,IDDE100132,1,89312,58,1,1,1,1,3,1,1,8,6,1,0,9,9,1
109,IDDE100133,1,22307,48,1,2,1,8,6,10,11,1,1,4,2,9,2,1
110,IDDE100134,1,52078,64,1,1,1,2,4,1,7,8,4,1,0,1,3,1
111,IDDE100136,2,29574,38,1,1,1,10,5,7,7,2,1,4,2,2,3,1
112,IDDE100137,2,1156,24,1,1,1,2,6,7,1,1,5,2,0,5,1,1
113,IDDE100138,2,58300,25,1,1,1,3,4,1,7,6,1,3,1,1,4,1
114,IDDE100140,2,20355,35,1,1,1,1,6,7,1,2,6,1,0,9,14,1
115,IDDE100142,1,49770,61,2,2,2,8,6,1,11,1,1,4,2,1,6,1
116,IDDE100143,1,22299,55,1,1,1,9,6,6,11,3,6,1,0,9,1,1
117,IDDE100144,2,58239,37,1,1,1,7,6,7,1,6,1,4,2,2,1,1
118,IDDE100145,1,16227,68,1,1,1,1,5,10,9,5,1,2,0,9,3,1
119,IDDE100147,2,21514,33,1,1,2,9,6,5,7,1,1,3,1,2,3,1
120,IDDE100148,2,25524,28,1,1,1,3,5,1,6,1,6,1,0,2,3,1
121,IDDE100149,1,96158,35,1,1,1,6,4,1,7,1,6,1,0,1,3,1
122,IDDE100150,2,13051,57,1,1,1,7,5,1,3,1,1,2,0,9,3,1
123,IDDE100151,2,21075,54,1,1,1,5,4,1,1,9,1,3,0,2,14,1
124,IDDE100153,1,9130,28,1,1,1,1,2,1,2,8,6,1,0,9,14,1
125,IDDE100154,2,6110,33,1,1,1,3,4,1,5,1,6,1,0,9,3,1
126,IDDE100155,1,10627,73,1,1,1,2,3,3,7,5,3,1,0,2,7,1
127,IDDE100156,2,18435,67,1,1,1,3,3,14,11,10,3,1,0,9,1,1
128,IDDE100157,1,36275,69,1,1,1,8,6,1,7,5,1,2,0,8,2,1
129,IDDE100159,2,17389,63,1,1,1,5,4,6,6,1,1,2,0,9,3,1
130,IDDE100160,2,69181,39,1,1,1,6,3,1,2,1,6,2,1,6,5,1
131,IDDE100161,1,97074,37,1,1,1,3,6,9,10,1,6,1,0,1,3,1
132,IDDE100162,1,69117,19,1,2,2,1,6,1,1,7,6,5,0,9,13,1
133,IDDE100163,1,60318,42,1,1,1,10,5,8,10,1,1,5,3,1,1,1
134,IDDE100164,2,53879,39,1,1,1,7,4,15,1,1,1,4,2,1,4,1
135,IDDE100166,2,21073,25,1,1,1,2,6,1,1,7,1,1,0,9,13,1
136,IDDE100168,2,78713,72,1,1,1,2,4,1,7,5,3,1,0,1,5,1
137,IDDE100169,1,76532,26,1,1,1,3,6,7,1,1,6,1,0,9,3,1
138,IDDE100170,1,59329,49,1,1,1,8,6,4,7,1,6,1,0,9,9,1
139,IDDE100171,2,12159,47,1,1,1,5,6,10,11,3,6,3,0,10,1,1
140,IDDE100172,1,97422,30,1,1,1,6,6,6,3,1,1,3,1,4,2,1
141,IDDE100173,1,65795,43,1,1,1,4,4,1,6,1,6,1,0,9,6,1
142,IDDE100174,2,21271,49,1,1,1,4,6,1,7,1,6,1,0,9,2,1
143,IDDE100175,2,59174,53,1,1,1,10,6,13,6,1,1,3,1,2,1,1
144,IDDE100176,2,16303,33,1,1,1,9,4,1,7,10,6,4,2,9,4,1
145,IDDE100177,2,9669,63,1,1,2,5,4,1,7,1,1,2,0,9,5,1
146,IDDE100178,2,13583,29,1,1,1,1,3,1,7,1,1,1,0,9,3,1
147,IDDE100179,2,91338,64,1,1,1,8,4,15,11,5,1,2,0,8,7,1
148,IDDE100180,2,37639,38,1,1,1,9,6,10,1,1,1,4,2,1,1,1
149,IDDE100181,1,49377,74,1,1,1,8,6,10,11,5,1,2,0,1,1,1
150,IDDE100182,1,46145,54,1,1,1,1,4,1,7,5,6,1,0,9,3,1
151,IDDE100183,2,32139,35,2,2,2,5,6,11,13,2,6,3,0,2,15,1
152,IDDE100184,1,4828,62,1,1,1,6,4,1,3,1,2,2,0,9,4,1
153,IDDE100185,1,79232,45,1,1,1,6,4,1,7,1,1,3,1,9,3,1
154,IDDE100187,2,81739,28,1,2,2,4,5,5,10,1,6,1,0,9,5,1
155,IDDE100188,1,74523,39,1,1,1,3,4,1,13,9,6,1,0,2,15,1
156,IDDE100189,1,99084,40,1,1,1,9,6,10,1,1,1,4,2,9,3,1
157,IDDE100190,2,53947,27,1,1,1,4,5,1,7,2,6,2,0,9,7,1
158,IDDE100191,1,32108,59,1,1,1,10,5,9,3,1,1,2,0,8,7,1
159,IDDE100192,2,41460,75,2,2,2,5,6,8,10,4,2,4,0,10,4,1
160,IDDE100193,2,24641,63,1,1,1,4,4,1,2,6,1,2,0,9,5,1
161,IDDE100194,1,13509,77,1,1,1,3,4,1,5,5,1,2,0,9,15,1
162,IDDE100195,1,69126,56,1,1,1,8,6,5,10,1,1,3,1,9,3,1
163,IDDE100196,2,53115,23,1,1,1,4,6,1,1,7,6,2,0,9,4,1
164,IDDE100197,1,60316,49,2,2,2,9,6,7,12,1,1,4,2,6,2,1
165,IDDE100199,1,89134,22,1,1,1,9,4,1,6,1,6,3,0,1,7,1
166,IDDE100200,1,7368,79,1,1,1,2,6,10,11,5,4,1,0,2,14,1
167,IDDE100204,1,82294,60,1,1,1,10,6,10,11,5,1,2,0,1,2,1
168,IDDE100205,2,45888,35,2,1,2,4,4,1,6,2,1,5,3,4,1,1
169,IDDE100206,2,78464,29,1,1,1,1,6,7,12,7,6,2,0,2,13,1
170,IDDE100207,1,9376,45,1,1,1,9,4,1,5,1,1,2,0,9,5,1
171,IDDE100208,2,37633,82,1,1,1,5,3,1,3,5,3,2,0,1,6,1
172,IDDE100209,1,92224,64,1,1,1,1,3,2,6,5,4,1,0,1,15,1
173,IDDE100210,1,78462,61,1,1,1,7,6,2,5,1,3,2,1,2,3,1
174,IDDE100211,1,66822,65,1,1,1,3,3,1,7,1,1,2,0,2,8,1
175,IDDE100212,1,55592,60,1,1,1,5,6,1,1,5,1,3,0,2,3,1
176,IDDE100213,1,31167,68,1,2,1,3,3,1,3,5,3,1,0,9,14,1
177,IDDE100214,2,3229,40,1,1,1,7,5,15,7,1,1,3,1,9,9,1
178,IDDE100215,2,84508,43,1,1,1,2,4,1,7,6,1,2,0,9,15,1
179,IDDE100217,2,22523,63,1,1,1,8,6,1,7,2,1,2,0,9,1,1
180,IDDE100218,1,65439,35,1,1,1,7,4,1,2,9,6,4,0,1,15,1
181,IDDE100219,1,69488,66,1,1,1,9,5,1,7,5,2,2,0,1,2,1
182,IDDE100220,1,44141,68,1,2,1,5,5,5,7,5,4,1,0,9,3,1
183,IDDE100222,1,47443,44,1,1,1,10,6,1,7,1,1,3,1,9,3,1
184,IDDE100223,2,91595,36,1,1,1,8,6,7,8,1,1,3,1,3,3,1
185,IDDE100226,1,23617,63,1,1,1,7,6,1,7,3,1,2,0,9,14,1
186,IDDE100227,2,47051,61,1,1,1,3,6,1,7,8,1,2,0,2,3,1
187,IDDE100229,2,40489,85,1,1,1,3,5,4,7,5,3,1,0,1,3,1
188,IDDE100232,2,99310,42,1,1,1,5,6,5,7,1,6,2,1,2,3,1
189,IDDE100233,1,29410,20,1,1,1,7,4,1,1,1,2,5,2,9,12,1
190,IDDE100237,3,74582,54,2,2,2,1,4,1,7,1,4,2,0,9,3,1
191,IDDE100238,1,59423,23,1,1,1,4,6,1,10,1,2,2,0,1,3,1
192,IDDE100240,2,4157,74,1,1,1,2,5,3,10,5,3,1,0,9,4,1
193,IDDE100241,1,60437,76,1,1,1,5,5,4,11,5,1,2,0,1,1,1
194,IDDE100242,1,74399,53,1,1,1,10,6,10,6,1,1,3,0,9,1,1
195,IDDE100243,2,39615,66,1,1,1,4,1,1,1,1,1,2,0,9,14,1
196,IDDE100244,2,88633,40,1,1,1,8,4,1,2,1,1,6,4,1,7,1
197,IDDE100245,1,38176,62,1,1,1,5,4,10,6,5,4,2,0,2,4,1
198,IDDE100246,2,52382,37,1,1,1,2,4,1,1,1,8,3,2,9,6,1
199,IDDE100248,1,4329,33,1,1,1,3,5,1,2,1,1,2,0,9,3,1
200,IDDE100249,1,45894,46,1,1,2,8,6,1,1,1,1,2,0,9,3,1
201,IDDE100250,2,84323,25,1,1,1,7,5,1,7,6,6,3,1,1,3,1
202,IDDE100251,1,72072,57,1,2,1,9,6,3,11,5,1,2,0,2,2,1
203,IDDE100252,2,71543,61,1,1,1,5,3,15,6,5,1,2,0,9,4,1
204,IDDE100253,1,26847,30,2,2,2,4,6,11,4,1,1,6,3,6,4,1
205,IDDE100254,2,59229,52,1,1,1,7,4,1,7,2,1,2,0,2,4,1
206,IDDE100255,2,23684,45,1,1,1,2,4,4,7,1,6,2,0,9,4,1
207,IDDE100256,1,74321,28,1,1,1,6,4,1,6,1,6,1,0,9,2,1
208,IDDE100257,1,22529,30,1,1,1,8,4,1,3,1,8,2,0,9,15,1
209,IDDE100259,1,64390,41,1,2,2,10,6,6,7,1,1,4,2,4,2,1
210,IDDE100260,1,35447,65,1,1,2,6,4,1,7,5,1,2,1,9,4,1
211,IDDE100261,1,66663,56,1,1,1,7,5,1,8,1,6,1,0,1,3,1
212,IDDE100262,1,90443,67,1,1,1,4,6,1,7,5,1,2,0,1,4,1
213,IDDE100263,2,88499,61,1,1,1,4,6,10,8,2,1,2,0,1,5,1
214,IDDE100264,1,55127,65,1,1,1,3,3,1,7,1,4,1,0,1,7,1
215,IDDE100265,2,39114,42,1,1,1,4,4,15,13,1,6,2,1,9,8,1
216,IDDE100266,2,52353,29,1,2,1,7,4,1,7,1,1,3,1,1,3,1
217,IDDE100267,2,74906,28,1,1,2,4,5,1,7,1,6,2,1,1,3,1
218,IDDE100269,1,70794,70,1,1,1,7,3,1,7,5,1,2,0,2,3,1
219,IDDE100270,1,33619,46,1,1,1,4,4,9,7,1,6,1,0,9,3,1
220,IDDE100271,2,82487,72,1,1,1,9,4,1,8,6,1,3,0,1,15,1
221,IDDE100272,1,41334,51,1,1,1,2,3,15,2,1,3,4,2,1,15,1
222,IDDE100275,2,58675,58,1,1,1,8,6,10,11,1,4,1,0,9,1,1
223,IDDE100276,2,76829,55,1,1,1,2,4,1,8,12,8,2,0,10,15,1
224,IDDE100278,2,99089,50,1,1,1,5,4,1,7,1,4,1,0,9,3,1
225,IDDE100279,2,90579,64,1,1,1,8,4,1,7,2,1,2,0,9,3,1
226,IDDE100281,2,13125,60,1,1,1,7,4,1,6,1,1,2,0,2,3,1
227,IDDE100282,2,86165,43,1,1,1,4,4,1,6,6,1,3,1,9,15,1
228,IDDE100283,2,23823,76,1,1,1,7,4,1,11,5,3,1,0,2,5,1
229,IDDE100284,1,97944,43,1,1,1,4,4,1,7,3,4,1,0,1,4,1
230,IDDE100285,1,28309,40,1,1,1,5,6,7,6,1,6,1,0,2,5,1
231,IDDE100287,2,41517,49,1,1,1,5,3,14,2,2,5,4,2,1,5,1
232,IDDE100288,1,38667,65,1,1,1,8,5,9,10,5,1,2,0,9,4,1
233,IDDE100289,2,7407,43,1,1,1,8,4,1,4,1,1,4,2,9,5,1
234,IDDE100291,2,10247,77,1,1,1,1,4,4,10,5,4,1,0,9,7,1
235,IDDE100292,2,50321,75,1,1,1,2,6,7,10,5,6,1,0,9,8,1
236,IDDE100294,2,94032,19,1,2,2,10,6,1,1,7,6,4,1,9,13,1
237,IDDE100295,2,56220,38,1,1,1,1,3,1,7,9,6,2,0,1,4,1
238,IDDE100296,2,23611,74,1,1,2,8,6,1,11,5,1,2,0,9,4,1
239,IDDE100298,1,77652,70,1,1,1,7,5,3,10,5,1,2,0,9,2,1
240,IDDE100299,1,18059,49,1,1,1,6,5,1,6,1,6,2,0,10,6,1
241,IDDE100300,2,9131,61,1,1,1,6,5,3,7,2,1,3,0,9,14,1
242,IDDE100301,1,85376,36,1,1,1,8,5,1,10,1,6,2,0,9,7,1
243,IDDE100302,2,30826,45,1,1,1,8,3,1,9,6,5,3,2,9,15,1
244,IDDE100303,2,80939,35,1,1,1,6,6,11,13,2,6,4,2,1,15,1
245,IDDE100304,1,60486,62,1,1,1,9,6,12,11,5,6,1,0,9,1,1
246,IDDE100306,2,7570,53,1,1,1,1,4,1,4,3,6,1,0,9,6,1
247,IDDE100307,1,24837,60,1,1,1,1,3,1,6,9,4,1,0,2,6,1
248,IDDE100308,1,26725,50,1,1,1,5,4,1,6,1,1,3,1,9,7,1
249,IDDE100309,1,1814,60,1,2,1,4,4,4,10,1,6,1,0,9,3,1
250,IDDE100310,2,19258,67,1,1,1,4,4,15,13,5,1,2,0,9,3,1
251,IDDE100312,1,6749,72,1,2,1,8,4,11,13,5,3,2,0,9,2,1
252,IDDE100313,2,65193,28,1,1,1,10,4,5,2,7,5,2,0,4,3,1
253,IDDE100315,1,25451,47,1,1,1,4,4,1,7,1,1,4,2,9,3,1
254,IDDE100319,1,44536,20,1,1,1,3,4,5,8,4,7,4,1,4,3,1
255,IDDE100320,1,21357,54,1,1,1,5,4,1,7,1,4,2,0,2,6,1
256,IDDE100322,2,52355,73,1,1,1,9,6,10,9,5,1,2,0,1,1,1
257,IDDE100323,1,94086,28,1,1,1,9,5,5,1,1,6,2,0,9,2,1
258,IDDE100324,1,59929,27,1,2,2,7,6,10,1,1,6,1,0,6,1,1
259,IDDE100325,1,52146,69,1,1,1,6,5,8,6,5,1,2,0,9,1,1
260,IDDE100326,2,23560,70,1,1,1,9,7,3,11,5,4,2,0,9,2,1
261,IDDE100327,1,37441,59,1,1,1,6,4,1,5,5,1,2,0,2,3,1
262,IDDE100328,2,49324,25,1,1,1,10,6,7,1,2,6,3,0,1,13,1
263,IDDE100329,1,32911,34,1,1,1,5,6,1,6,1,1,3,1,9,10,1
264,IDDE100331,2,65385,70,1,1,1,5,3,6,7,5,1,2,0,1,3,1
265,IDDE100332,2,31275,69,1,1,1,4,6,1,8,5,6,2,0,2,1,1
266,IDDE100333,1,37235,63,1,2,1,8,4,1,7,1,1,3,0,1,2,1
267,IDDE100334,1,23566,53,1,1,1,10,6,1,8,1,1,4,2,9,4,1
268,IDDE100335,1,30853,60,1,1,1,7,6,1,6,1,1,2,0,9,7,1
269,IDDE100336,2,22926,70,1,2,2,5,6,10,11,5,4,1,0,9,15,1
270,IDDE100337,2,2625,48,1,1,1,1,3,1,1,5,1,3,1,9,9,1
271,IDDE100338,1,60438,66,1,1,1,9,6,11,9,5,1,2,0,9,1,1
272,IDDE100339,1,4317,69,1,1,1,6,4,1,7,5,1,4,2,2,3,1
273,IDDE100340,1,50996,51,1,1,1,1,3,1,7,9,4,1,0,2,8,1
274,IDDE100343,2,97070,28,2,2,2,4,3,15,2,10,1,4,2,1,12,1
275,IDDE100344,1,26789,28,2,2,2,4,6,10,4,1,6,2,0,6,7,1
276,IDDE100345,2,8200,59,1,1,1,7,4,1,7,1,8,2,0,9,5,1
277,IDDE100346,2,17489,18,1,1,1,1,6,14,12,7,6,2,0,9,13,1
278,IDDE100347,2,21029,28,1,1,1,7,6,11,13,1,1,3,1,9,1,1
279,IDDE100348,1,82256,55,1,1,1,3,6,1,7,9,6,1,0,9,4,1
280,IDDE100349,1,6466,79,1,1,1,3,4,1,1,5,1,2,0,9,7,1
281,IDDE100350,1,99880,55,1,1,1,2,4,10,11,1,6,1,0,9,7,1
282,IDDE100351,2,72119,55,1,1,1,9,4,1,7,2,1,2,0,2,3,1
283,IDDE100352,1,72762,45,1,1,1,6,6,9,10,1,1,4,2,1,1,1
284,IDDE100353,2,36199,57,1,1,1,5,4,1,7,3,1,2,0,2,5,1
285,IDDE100355,1,67346,27,1,1,1,5,4,8,7,8,6,1,0,1,15,1
286,IDDE100356,2,42653,21,1,1,2,5,4,1,7,1,6,2,0,9,3,1
287,IDDE100358,1,45143,44,1,1,1,10,6,1,7,3,1,4,2,9,1,1
288,IDDE100359,2,22041,72,1,1,1,8,7,1,7,5,6,2,0,9,3,1
289,IDDE100360,2,97270,32,1,1,1,10,6,7,1,1,1,2,0,1,3,1
290,IDDE100361,2,12169,18,1,1,1,3,6,1,1,7,6,2,0,9,13,1
291,IDDE100362,2,6792,35,1,1,1,2,4,1,11,3,6,4,2,9,6,1
292,IDDE100363,1,7751,26,1,1,1,2,5,8,2,8,6,1,0,10,13,1
293,IDDE100364,1,71686,24,1,1,1,7,6,1,1,2,6,5,0,9,5,1
294,IDDE100366,2,88682,64,1,1,1,7,4,9,7,2,1,2,0,9,3,1
295,IDDE100367,1,16225,29,1,1,1,2,3,14,4,1,6,1,0,9,12,1
296,IDDE100368,2,89231,60,1,1,2,2,4,1,6,1,6,1,0,9,4,1
297,IDDE100369,2,6917,40,1,1,1,2,4,13,7,1,6,2,1,9,3,1
298,IDDE100370,2,30659,33,1,2,2,4,5,10,4,2,6,2,1,4,5,1
299,IDDE100371,1,1219,71,1,1,1,2,4,3,10,5,4,1,0,9,3,1
300,IDDE100372,1,6237,35,1,1,1,6,4,6,3,1,4,1,0,9,4,1
301,IDDE100373,1,1445,60,1,1,1,10,4,1,10,1,1,2,0,9,7,1
302,IDDE100374,2,37079,71,1,1,1,4,4,15,5,5,1,2,0,2,15,1
303,IDDE100375,1,99085,59,1,1,1,4,4,1,6,5,1,2,0,9,7,1
304,IDDE100378,1,30171,55,1,1,1,7,6,10,1,2,1,2,0,1,5,1
305,IDDE100381,1,84051,39,1,1,1,7,5,1,11,1,1,4,3,1,15,1
306,IDDE100382,2,15562,41,1,1,1,6,3,15,11,9,6,5,3,9,5,1
307,IDDE100383,1,78343,72,1,1,1,6,4,1,7,5,3,1,0,9,4,1
308,IDDE100384,2,22081,75,1,1,1,9,3,1,7,5,2,2,0,9,3,1
309,IDDE100385,1,13403,62,2,2,1,8,6,1,11,5,1,2,0,1,7,1
310,IDDE100387,1,94575,47,1,1,1,8,6,10,11,1,1,4,2,9,2,1
311,IDDE100388,2,28207,40,1,1,1,7,6,10,1,1,6,3,2,9,1,1
312,IDDE100389,1,24558,45,1,1,1,8,6,3,13,1,4,2,1,9,3,1
313,IDDE100390,2,55299,53,1,1,1,10,6,1,7,1,1,2,0,1,4,1
